id,name,logo,symbol,cardCount,sdk
swsh8,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/logo,https://assets.tcgdex.net/univ/swsh/swsh8/symbol,"SetCardCountResume(total=284, official=264)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh9,Brilliant Stars,https://assets.tcgdex.net/en/swsh/swsh9/logo,https://assets.tcgdex.net/univ/swsh/swsh9/symbol,"SetCardCountResume(total=216, official=172)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh10,Astral Radiance,https://assets.tcgdex.net/en/swsh/swsh10/logo,https://assets.tcgdex.net/univ/swsh/swsh10/symbol,"SetCardCountResume(total=246, official=189)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh10.5,Pokémon GO,https://assets.tcgdex.net/en/swsh/swsh10.5/logo,https://assets.tcgdex.net/univ/swsh/swsh10.5/symbol,"SetCardCountResume(total=88, official=78)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh11,Lost Origin,https://assets.tcgdex.net/en/swsh/swsh11/logo,https://assets.tcgdex.net/univ/swsh/swsh11/symbol,"SetCardCountResume(total=247, official=196)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh12,Silver Tempest,https://assets.tcgdex.net/en/swsh/swsh12/logo,https://assets.tcgdex.net/univ/swsh/swsh12/symbol,"SetCardCountResume(total=245, official=195)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh12.5,Crown Zenith,https://assets.tcgdex.net/en/swsh/swsh12.5/logo,https://assets.tcgdex.net/univ/swsh/swsh12.5/symbol,"SetCardCountResume(total=230, official=159)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
svp,SVP Black Star Promos,,,"SetCardCountResume(total=219, official=0)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sv01,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/logo,https://assets.tcgdex.net/univ/sv/sv01/symbol,"SetCardCountResume(total=258, official=198)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sv02,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/logo,https://assets.tcgdex.net/univ/sv/sv02/symbol,"SetCardCountResume(total=279, official=193)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sv03,Obsidian Flames,https://assets.tcgdex.net/en/sv/sv03/logo,https://assets.tcgdex.net/univ/sv/sv03/symbol,"SetCardCountResume(total=230, official=197)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sv03.5,151,https://assets.tcgdex.net/en/sv/sv03.5/logo,https://assets.tcgdex.net/univ/sv/sv03.5/symbol,"SetCardCountResume(total=207, official=165)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sv04,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/logo,https://assets.tcgdex.net/univ/sv/sv04/symbol,"SetCardCountResume(total=266, official=182)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sv04.5,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/logo,https://assets.tcgdex.net/univ/sv/sv04.5/symbol,"SetCardCountResume(total=245, official=91)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sv05,Temporal Forces,,https://assets.tcgdex.net/univ/sv/sv05/symbol,"SetCardCountResume(total=218, official=162)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sv06,Twilight Masquerade,https://assets.tcgdex.net/en/sv/sv06/logo,https://assets.tcgdex.net/univ/sv/sv06/symbol,"SetCardCountResume(total=226, official=167)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sv06.5,Shrouded Fable,https://assets.tcgdex.net/en/sv/sv06.5/logo,https://assets.tcgdex.net/univ/sv/sv06.5/symbol,"SetCardCountResume(total=99, official=64)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
